route_id,agency_id,route_short_name,route_long_name,route_type
40701003311,UON,33GTB,Accra Road-Jogoo Road-Donholm-Fedha-Gate B,3
40702002001,UON,20,Mama Lucy Hospital-Kayole-Njiru-Mwiki,3
40702034B11,UON,34B,Ambassadeur-Donholm-Jacaranda,3
40702196111,UON,1961K,Landhies Road-Jogoo Road-Jacaranda-Kayole,3
40702196112,UON,1961Kd,Caltex Donholm-Jacaranda-Kayole,3
40703196011,UON,1960,OTC-Donholm-Kayole,3
40704356001,UON,3560_2,Donholm-Mutindwa-Umoja 2,3
40704356011,UON,35/60,Town-Donholm-Umoja,3
4070500SK11,UON,39SK,Ronald Ngala-Jogoo Road-Kangundo Road-Saika-Kayole Junction,3
40705017A01,UON,17A,Rounda-Umoja 2-Kayole,3
40705019C11,UON,19Cdc,Ambassadeur-Jogoo Road-Donholm-Caltex-Komarocks,3
4070519C211,UON,19C2,Donholm-Caltex-Komarocks,3
40705383911,UON,38/39,Town-Donholm-Njiru-Ruai,3
50000002412,UON,24BK,Bomas-Karen Hospital-Karen,3
50100001111,UON,11,Bus Station-Industrial Area-South B-Hazina,3
50100001121,UON,11_2,Town-Industrial Area-Mater-Railways Training Institute-Balozi-Hazina,3
50201014A11,UON,14A,Bus Station-Nairobi West-Madaraka-Strathmore,3
50201014B11,UON,14B,Bus Station-Nairobi West-TMall,3
50203001611,UON,16,Bus Station-Nyayo Stadium-T Mall-Highrise,3
50204001511,UON,15,Bus Station-Nyayo Stadium-Wilson-Langata,3
50205012511,UON,125,Railways-Langata Road-Bomas-Ongata Rongai,3
50205012601,UON,126RK,Ongata Rongai-Nkoroi-Kiserian,3
50205012611,UON,126,Railways-Langata Road-Ongata Rongai-Kiserian,3
50206002411,UON,24,Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,3
50300012C11,UON,12C,Bus Station-Red Cross-Mugoya,3
50301012D11,UON,12D,Bus Station-Red Cross-KPA-College Of Insurance-Amboseli,3
50600003311,UON,33IMR,Commercial-Belleview-Imara Daima,3
50600033A11,UON,33MKR,Bus Station-Mombasa Road-Imara Daima-St.Bakhita,3
50700003311,UON,33UTW,Utawala-Ambassadeur,3
50700014501,UON,145B,Bypass-Ruiru Ndani-Ruiru,3
50700033H01,UON,33H,Cabanas-Utawala-Bypass,3
50701003311,UON,33TP,Commercial-Mombasa Road-Taj Mall-Pipeline,3
50702003311,UON,33FED,Commercial-Cabanas-Tuskys-Village-Gate A-Posta,3
50703033C11,UON,33B,Commercial-Cabanas-Baraka,3
50703033J01,UON,33J,Cabanas-Utawala-Githunguri,3
50800011011,UON,110,Railways-Mombasa Road-Mlolongo-Kitengela,3
50901011011,UON,110ATH,Railways-Mombasa Road-Devki-Makadara,3
50901011012,UON,110AK,Athi River-Makadara-Kitengela,3
60000004611,UON,46Y,Kencom-Valley Road-Hurlinghum-Yaya Centre,3
60101007C11,UON,7C,Kencom-Community-Equity Center-Kenyatta National Hospital,3
60200004611,UON,46K,Kencom-Valley Road-Yaya Centre-Kawangware,3
60201005611,UON,56,Town-Yaya-Congo-Kanungaga,3
70000000311,UON,3U/3,Dagoretti Corner-Naivasha Road-Uthiru,3
70000010311,UON,103,Dagoretti Market-Uthiru-Kinoo-Wangige,3
70000012911,UON,129,Kikuyu-Magu-Kingeero-Wangige,3
70000203311,UON,33NG,Racecourse Road-Ngong Road-KNH-Ngumo,3
70100203411,UON,34L,Kenyatta National Hospital-Mbagathi Road-Wilson Airport-Langata,3
70101013301,UON,33SB,Ngumo-Highrise-Nairobi West-Couth C-South B,3
70200000811,UON,8,Railways-Ngong Road-Kibera,3
70200003211,UON,32A,Kencom-Community-KNH-Ngong Road-Ayani,3
70201024C11,UON,24C,Kencom-Valley Road-Ngong Road-Karen-Hardy,3
70301000511,UON,5,Town-Kenyatta-Adams-Jamhuri,3
70400011111,UON,111,Railways-Ngong Road-Karen-Ngong,3
70400012611,UON,126N,Ngong-Kiserian,3
70401000111,UON,1,Karen-Karinde-Dagoretti Market,3
70500004W11,UON,4W,Railways-Ngong Road-Wanyee-Kaberia,3
70600010211,UON,102,Railways-NgongRoad-Kawangware-Kikuyu,3
70601000211,UON,2,Railways-Ngong Road-Kawangware-Dagoretti Market,3
70805046P10,UON,046P,"Ambassadeur,Kabete,Kawangware",3
70904004810,UON,0048,Yaya-Kasuku-Westlands,3
80000002311,UON,23KG,Odeon-Chiromo-Westlands-Kangemi,3
80000011911,UON,119,Koja-Westgate-Wangige,3
80000114011,UON,114W,Ngara-Westlands-Kangemi-Limuru,3
80000115011,UON,115,Koja-Westlands-Kangemi-Limuru,3
80000119A11,UON,119A,Town-Westlands-Peponi Road-Spring Valley-ISK-Gathiga,3
80000135011,UON,135,Kaka-Westlands-Kangemi-Limuru,3
80100011811,UON,118,Koja-Westlands-Kabete-Wangige,3
80100048A11,UON,48A,Odeon-Chiromo-Strathmore School-Lavington,3
80101004811,UON,48O,Odeon-Chiromo-Kileleshwa-Othaya Road,3
80101048B11,UON,48B,Odeon-Chiromo-Westlands Bypass-Methodist Guesthouse-Othaya Road,3
80200004811,UON,48K,Westlands-ABC Place-Lavington-Kawangware,3
80200048C11,UON,48C,Odeon-Chiromo-Westlands-ByPass-Yaya,3
80400003011,UON,30,Odeon-Westlands-Kangemi-Uthiru,3
80500010511,UON,105,Odeon-Westlands-Kangemi-Kinoo-Regen-Kikuyu,3
