route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
20702000611,DAILY,20006110,Koja,0,20006110
20702000611,DAILY,20006111,Eastleigh,1,20006111
20800203001,DAILY,22030110,Allsops,0,22030110
20800203001,DAILY,22030111,Rounda,1,22030111
20801002511,DAILY,20025110,Odeon,0,20025110
20801002511,DAILY,20025111,Baba Dogo,1,20025111
20801025A11,DAILY,2025A110,Odeon,0,2025A110
20801025A11,DAILY,2025A111,Lucky Summer,1,2025A111
20807042011,DAILY,20042110,Allsops,0,20042110
20807042011,DAILY,20042111,Dandora,1,20042111
20901043011,DAILY,20043110,Bus Station,0,20043110
20901043011,DAILY,20043111,Ngumba,1,20043111
21000004911,DAILY,20049110,Odeon,0,20049110
21000004911,DAILY,20049111,Sunton,1,20049111
21000017B11,DAILY,2017B110,Bus Station,0,2017B110
21000017B11,DAILY,2017B111,Mwiki,1,2017B111
21100004411,DAILY,20044110,Odeon,0,20044110
21100004411,DAILY,20044111,KU,1,20044111
21100004412,DAILY,20044120,Odeon,0,20044120
21100004412,DAILY,20044121,KU,1,20044121
21100004421,DAILY,20044210,Roysambu,0,20044210
21100004421,DAILY,20044211,KU,1,20044211
21200017B12,DAILY,2017B120,Roysambu,0,2017B120
21200017B12,DAILY,2017B121,Mwiki,1,2017B121
30000004611,DAILY,30046110,OTC,0,30046110
30000004611,DAILY,30046111,Huruma,1,30046111
30000046B11,DAILY,3046B110,Tusker,0,3046B110
30000046B11,DAILY,3046B111,Rounda,1,3046B111
30007004111,DAILY,30041110,Gikomba,0,30041110
30007004111,DAILY,30041111,Dandora,1,30041111
30100000711,DAILY,30007110,Town,0,30007110
30100000711,DAILY,30007111,Gikomba,1,30007111
30100011C11,DAILY,3011C110,Odeon,0,3011C110
30100011C11,DAILY,3011C111,Pangani Terminus,1,3011C111
30101000311,DAILY,30003110,Ngara,0,30003110
30101000311,DAILY,30003111,Gikomba,1,30003111
30600017A11,DAILY,3017A110,Eastleigh,0,3017A110
30600017A11,DAILY,3017A111,Kayole,1,3017A111
30600018C11,DAILY,3018C110,Kayole,0,3018C110
30600018C11,DAILY,3018C111,Eastleigh,1,3018C111
30600186211,DAILY,31862110,Bus station,0,31862110
30600186211,DAILY,31862111,Kayole,1,31862111
30603373812,DAILY,33738110,Rounder,0,33738110
30603373812,DAILY,33738111,Ruai,1,33738111
30800001411,DAILY,30014110,OTC,0,30014110
30800001411,DAILY,30014111,Kariobangi,1,30014111
30800002811,DAILY,30028110,Gikomba,0,30028110
30800002811,DAILY,30028111,Kariobangi,1,30028111
30907003211,DAILY,30032110,OTC,0,30032110
30907003211,DAILY,30032111,Dandora,1,30032111
40100003311,DAILY,40033110,Muthurwa,0,40033110
40100003311,DAILY,40033111,Pipeline,1,40033111
40101040501,DAILY,40405210,City Stadium,0,40405210
40101040501,DAILY,40405211,Nyayo Stadium,1,40405211
40102040511,DAILY,40405110,Muthurwa,0,40405110
40102040511,DAILY,40405111,General Motors,1,40405111
40200000601,DAILY,40006110,Church Army,0,40006110
40200000601,DAILY,40006111,Joster,1,40006111
40201002311,DAILY,40023110,Gill House,0,40023110
40201002311,DAILY,40023111,Kariobangi South,1,40023111
40301707111,DAILY,47071110,Muthurwa,0,47071110
40301707111,DAILY,47071111,Lunga Lunga,1,47071111
40401001011,DAILY,40010110,Muthurwa,0,40010110
40401001011,DAILY,40010111,Maringo,1,40010111
40403002611,DAILY,40026210,Makadara,0,40026210
40403002611,DAILY,40026211,Kariobangi,1,40026211
40501002611,DAILY,40026110,Makadara,0,40026110
40501002611,DAILY,40026111,Kariobangi,1,40026111
40601003611,DAILY,40036110,City Stadium,0,40036110
40601003611,DAILY,40036111,Dandora,1,40036111
40601005811,DAILY,40058110,Ambassadeur,0,40058110
40601005811,DAILY,40058111,Buruburu,1,40058111
40700003311,DAILY,40033210,Donholm,0,40033210
40700003311,DAILY,40033211,Carbanas,1,40033211
40700003411,DAILY,40034110,Ambassadeur,0,40034110
40700003411,DAILY,40034111,JKIA,1,40034111
40700033C11,DAILY,40033510,Commercial,0,40033510
40700033C11,DAILY,40033511,Cabanas,1,40033511
40701003311,DAILY,40033410,Commercial,0,40033410
40701003311,DAILY,40033411,Gate B,1,40033411
40702002001,DAILY,40020110,Mama Lucy,0,40020110
40702002001,DAILY,40020111,Mwiki,1,40020111
40702034B11,DAILY,4034B110,Ambassadeur,0,4034B110
40702034B11,DAILY,4034B111,Jacaranda,1,4034B111
40702196111,DAILY,41961110,OTC,0,41961110
40702196111,DAILY,41961111,Kayole,1,41961111
40702196112,DAILY,41961120,Donholm,0,41961120
40702196112,DAILY,41961121,Kayole,1,41961121
40703196011,DAILY,41960110,Kamukunji,0,41960110
40703196011,DAILY,41960111,Kayole,1,41960111
40704356001,DAILY,43560210,Donholm,0,43560210
40704356001,DAILY,43560211,Umoja 2,1,43560211
40704356011,DAILY,43560110,Tusker,0,43560110
40704356011,DAILY,43560111,Umoja,1,43560111
4070500SK11,DAILY,43560220,Tusker,0,43560220
4070500SK11,DAILY,43560221,Kayole Junction,1,43560221
40705017A01,DAILY,4017A110,Rounda,0,4017A110
40705017A01,DAILY,4017A111,Kayole,1,4017A111
40705019C11,DAILY,4019C120,Town,0,4019C120
40705019C11,DAILY,4019C121,Komarocks,1,4019C121
4070519C211,DAILY,4019C210,Donholm,0,4019C210
4070519C211,DAILY,4019C211,Komarocks,1,4019C211
40705383911,DAILY,43839110,Muthurwa,0,43839110
40705383911,DAILY,43839111,Ruai,1,43839111
50000002412,DAILY,50024210,Bomas,0,50024210
50000002412,DAILY,50024211,Karen,1,50024211
50100001111,DAILY,50011110,Bus Station,0,50011110
50100001111,DAILY,50011111,Hazina,1,50011111
50100001121,DAILY,50011120,Bus Station,0,50011120
50100001121,DAILY,50011121,Hazina,1,50011121
50201014A11,DAILY,5014A110,Bus Station,0,5014A110
50201014A11,DAILY,5014A111,Strathmore,1,5014A111
50201014B11,DAILY,5014B110,Bus Station,0,5014B110
50201014B11,DAILY,5014B111,TMall,1,5014B111
50203001611,DAILY,50016110,Bus Station,0,50016110
50203001611,DAILY,50016111,Highrise,1,50016111
50204001511,DAILY,50015110,Bus Station,0,50015110
50204001511,DAILY,50015111,Langata,1,50015111
50205012511,DAILY,50125110,Railways,0,50125110
50205012511,DAILY,50125111,Ongata Rongai,1,50125111
50205012601,DAILY,50126210,Ongata Rongai,0,50126210
50205012601,DAILY,50126211,Kiserian,1,50126211
50205012611,DAILY,50126110,Railways,0,50126110
50205012611,DAILY,50126111,Kiserian,1,50126111
50206002411,DAILY,50024110,Karen,0,50024110
50206002411,DAILY,50024111,Ambassadeur,1,50024111
50300012C11,DAILY,5012C110,Bus Station,0,5012C110
50300012C11,DAILY,5012C111,Mugoya,1,5012C111
50301012D11,DAILY,5012D110,Bus Station,0,5012D110
50301012D11,DAILY,5012D111,Amboseli,1,5012D111
50600003311,DAILY,50033110,Commercial,0,50033110
50600003311,DAILY,50033111,Imara Daima,1,50033111
50600033A11,DAILY,50033160,Commercial,0,50033610
50600033A11,DAILY,50033161,St. Bakhita,1,50033611
50700003311,DAILY,50033310,Ambassadeur,0,50033310
50700003311,DAILY,50033311,Utawala,1,50033311
50700014501,DAILY,50145110,Bypass,0,50145110
50700014501,DAILY,50145111,Ruiru,1,50145111
50700033H01,DAILY,50033270,Cabanas,0,50033270
50700033H01,DAILY,50033271,Bypass,1,50033271
50701003311,DAILY,50033130,Commercial,0,50033130
50701003311,DAILY,50033131,Pipeline,1,50033131
50702003311,DAILY,50033140,Commercial,0,5033140
50702003311,DAILY,50033141,Posta,1,5033141
50703033C11,DAILY,5033C180,Commercial,0,5033C180
50703033C11,DAILY,5033C181,Baraka,1,5033C181
50703033J01,DAILY,50033260,Cabanas,0,50033260
50703033J01,DAILY,50033261,Githunguri,1,50033261
50800011011,DAILY,50110110,Railways Uchumi,0,50110110
50800011011,DAILY,50110111,Kitengela,1,50110111
50901011011,DAILY,50110120,Railways Uchumi,0,50110210
50901011011,DAILY,50110121,Makadara,1,50110211
50901011012,DAILY,50110210,Devki Athiriver,0,50110120
50901011012,DAILY,50110211,Kitengela,1,50110121
60000004611,DAILY,60046210,Kencom,0,60046120
60000004611,DAILY,60046211,Yaya Centre,1,60046121
60101007C11,DAILY,6007C110,Kencom,0,6007C110
60101007C11,DAILY,6007C111,Kenyatta National Hospital,1,6007C111
60200004611,DAILY,60046110,Kencom,0,60046110
60200004611,DAILY,60046111,Kawangware,1,60046111
60201005611,DAILY,60056110,Railways,0,60056110
60201005611,DAILY,60056111,Kanungaga,1,60056111
70000000311,DAILY,70003110,Dagoretti Corner,0,70003210
70000000311,DAILY,70003111,Uthiru,1,70003211
70000010311,DAILY,70103110,Dagoretti Corner,0,70103210
70000010311,DAILY,70103111,Wangige,1,70103211
70000012911,DAILY,70129110,Kikuyu,0,70129110
70000012911,DAILY,70129111,Wangige,1,70129111
70000203311,DAILY,70033110,Racecourse Road,0,70033110
70000203311,DAILY,70033111,Ngumo,1,70033111
70100203411,DAILY,70034110,KNH,0,70034110
70100203411,DAILY,70034111,Langata,1,70034111
70101013301,DAILY,70033210,Ngumo,0,70033210
70101013301,DAILY,70033211,South B,1,70033211
70200000811,DAILY,70008110,Railways,0,70008110
70200000811,DAILY,70008111,Kibera,1,70008111
70200003211,DAILY,70032110,Kencom,0,70032110
70200003211,DAILY,70032111,Ayani,1,70032111
70201024C11,DAILY,7024C110,Kencom,0,7024C110
70201024C11,DAILY,7024C111,Hardy,1,7024C111
70301000511,DAILY,70005110,Kencom,0,70005110
70301000511,DAILY,70005111,Jamhuri,1,70005111
70400011111,DAILY,70111110,Railways,0,70111110
70400011111,DAILY,70111111,Ngong,1,70111111
70400012611,DAILY,70126110,Ngong,0,70126110
70400012611,DAILY,70126111,Kiserian,1,70126111
70401000111,DAILY,70001110,Karen,0,70001110
70401000111,DAILY,70001111,Dagoretti Market,1,70001111
70500004W11,DAILY,7004W110,Kencom/Ambassadeur,0,7004W110
70500004W11,DAILY,7004W111,Kaberia,1,7004W111
70600010211,DAILY,70102110,Railways,0,70102110
70600010211,DAILY,70102111,Kikuyu,1,70102111
70601000211,DAILY,70002110,Railways,0,70002110
70601000211,DAILY,70002111,Dagoretti Market,1,70002111
70805046P10,DAILY,7046P110,Kawangware,1,7046P110
70805046P10,DAILY,7046P111,Ambassadeur,0,7046P111
70904004810,DAILY,70048110,Yaya,0,70048110
70904004810,DAILY,70048111,Westlands,0,70048111
80000002311,DAILY,80023110,Odeon,0,80023110
80000002311,DAILY,80023111,Kangemi,1,80023111
80000011911,DAILY,80119110,Koja,0,80119110
80000011911,DAILY,80119111,Wangige,1,80119111
80000114011,DAILY,80114110,Ngara,0,80114110
80000114011,DAILY,80114111,Limuru,1,80114111
80000115011,DAILY,80115110,Koja,0,80115110
80000115011,DAILY,80115111,Limuru,1,80115111
80000119A11,DAILY,8119A110,Koja,0,8119A110
80000119A11,DAILY,8119A111,Gathiga,1,8119A111
80000135011,DAILY,80135110,Kaka,0,81350110
80000135011,DAILY,80135111,Limuru,1,81350111
80100011811,DAILY,80118110,Koja,0,80118110
80100011811,DAILY,80118111,Wangige,1,80118111
80100048A11,DAILY,8048A110,Odeon,0,8048A110
80100048A11,DAILY,8048A111,Lavington,1,8048A111
80101004811,DAILY,80048110,Odeon,0,80048110
80101004811,DAILY,80048111,Othaya Road,1,80048111
80101048B11,DAILY,8048B110,Odeon,0,8048B110
80101048B11,DAILY,8048B111,Othaya Road,1,8048B111
80200004811,DAILY,80048210,Westlands,0,80048210
80200004811,DAILY,80048211,Kawangware,1,80048211
80200048C11,DAILY,8048C110,Odeon,0,8048C110
80200048C11,DAILY,8048C111,Yaya,1,8048C111
80400003011,DAILY,80030110,Odeon,0,80030110
80400003011,DAILY,80030111,Uthiru,1,80030111
80500010511,DAILY,80105110,Kikuyu,0,80105110
80500010511,DAILY,80105111,Odeon,1,80105111
